_id;event;venue;machine;vendType;productName;transactionDate;quantity;quantitySet;totalStamps;currency;value;paymentStatus;sesionId;etiquetasRollo1;etiquetasRollo2;etiquetaMes;titutoEvento;feria;Lugar;fecha;mes;annio;documento
SXkh36xj5BTtCcpvW;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:42:18;5;1;5;EUR;0.60;FERIA;23;0;358;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
ohgdWwce8WPHK537f;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:42:42;1;1;1;EUR;0.60;FERIA;24;0;353;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
AkreimBpz8GWHsxkd;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:42:58;1;1;1;EUR;0.60;FERIA;25;0;352;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
JiRr3fnYN6yjFiKo6;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:43:05;1;1;1;EUR;0.60;FERIA;26;0;351;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
FwSQbSGtRdF5PaZiZ;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:43:17;1;1;1;EUR;0.60;FERIA;27;0;350;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
HNStMXKKcDAtpMrY4;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:43:26;1;1;1;EUR;0.60;FERIA;28;0;349;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
MwwZdoeQdSTnwt3xD;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:44:03;1;1;1;EUR;0.70;FERIA;29;0;348;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
BrgkZ9PqQXjNeet9c;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:44:06;1;1;1;EUR;0.70;FERIA;30;0;347;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
5tf3AuQPnxLMov6DC;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:44:10;1;1;1;EUR;0.70;FERIA;31;0;346;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
jpktKxdSdi3FGEcdW;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:44:13;1;1;1;EUR;0.70;FERIA;32;0;345;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
YWBSEhgPSJbqoAdMH;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:44:36;1;1;1;EUR;0.70;FERIA;33;0;344;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
v5kBuidP88TDtt9Wj;7-9 noviembre;París;PA19;Etiqueta individual;Notre Dame;07/11/2019 12:45:20;1;1;1;EUR;1.40;FERIA;34;0;343;N;París;73 Salon Philatélique d'Automne;Paris;07/11/2019;11;2019;Facture Simplifiée
